emp_no,first_name,last_name,birth_date,from_date,to_date,title,
10095,Hilari,Morton,1/3/65,3/10/94,1/1/99,Senior Staff,
10122,Ohad,Esposito,1/19/65,8/6/98,1/1/99,Technique Leader,
10291,Dipayan,Seghrouchni,1/23/65,3/30/87,1/1/99,Senior Staff,
10410,Takahito,Gecsei,1/19/65,10/16/93,7/21/96,Staff,
10476,Kokou,Iisaka,1/1/65,9/20/87,1/1/99,Senior Staff,
10480,Make,Baba,1/25/65,5/18/88,6/3/89,Staff,
10663,Teunis,Noriega,1/9/65,2/12/99,1/1/99,Technique Leader,
10762,Lech,Himler,1/19/65,1/21/92,1/1/99,Senior Staff,
10933,Juyoung,Seghrouchni,1/24/65,8/2/93,1/1/99,Senior Engineer,
11015,Jeanna,Riesenhuber,1/24/65,3/14/98,2/22/00,Senior Staff,
11126,Hideo,Daescu,1/8/65,2/25/92,4/4/02,Senior Staff,
11157,Mario,Cochrane,2/1/65,3/30/85,2/6/91,Engineer,
11432,Yongmao,Zwicker,1/15/65,10/19/87,9/13/97,Engineer,
12155,Keiichiro,Glinert,1/21/65,9/16/93,1/1/99,Engineer,
12408,Rasiah,Sudkamp,1/10/65,4/18/95,1/1/99,Senior Engineer,
12643,Morrie,Schurmann,1/30/65,12/31/98,1/1/99,Staff,
13499,Kazuhiko,Sidou,1/16/65,9/1/91,1/1/99,Technique Leader,
13957,Angus,Chelton,1/10/65,4/18/86,2/2/87,Senior Engineer,
14075,Denny,Tchuente,1/3/65,5/30/91,1/1/99,Assistant Engineer,
14104,Sudhanshu,Demian,1/3/65,7/23/94,1/1/99,Senior Staff,
14127,Magdalena,Cannard,1/10/65,4/22/94,1/1/99,Engineer,
14158,Caolyn,Setiz,1/22/65,2/6/90,1/1/99,Senior Staff,
14476,Sastry,Marrevee,1/19/65,9/25/99,1/1/99,Engineer,
14551,Richard,Sinitsyn,1/18/65,6/27/93,9/16/93,Senior Staff,
14907,Nakhoon,Luga,1/14/65,12/18/86,1/1/99,Senior Staff,
15050,Nikolaos,Kruskal,1/18/65,12/17/90,1/1/99,Engineer,
15058,Bouchung,Bugrara,1/30/65,6/18/90,1/1/99,Senior Staff,
15376,Geoff,Soicher,1/10/65,8/14/88,3/1/01,Senior Staff,
15413,Arvin,Rabejac,1/17/65,1/1/94,1/1/99,Engineer,
16461,Remmert,Schahn,1/14/65,9/6/86,1/1/99,Senior Staff,
16528,Gaurav,Swick,1/21/65,5/7/96,1/1/99,Assistant Engineer,
17013,Morris,Garigliano,1/15/65,5/24/95,1/1/99,Senior Staff,
17206,Berry,DeMori,1/2/65,12/27/92,1/1/99,Engineer,
17369,Yaghout,Kenevan,1/31/65,9/15/00,1/1/99,Engineer,
17447,Zengping,Boreale,1/11/65,12/16/98,1/1/99,Staff,
17618,Teiji,Picco,1/12/65,9/17/92,11/8/99,Staff,
17731,Gennady,Roison,1/16/65,12/6/89,1/1/99,Assistant Engineer,
17799,Gro,Gini,1/28/65,9/28/97,7/11/01,Engineer,
17970,Filipp,Carrere,1/6/65,1/9/89,1/1/99,Technique Leader,
17988,Mabhin,Calkin,1/31/65,11/30/89,1/1/99,Engineer,
18021,Adil,Matzke,1/7/65,5/8/87,1/1/99,Engineer,
18187,Denis,Falster,1/8/65,12/21/98,6/3/99,Staff,
18424,Filipp,Rousseau,1/19/65,6/7/95,1/1/99,Engineer,
18583,Stafford,Honglei,1/3/65,8/16/98,1/1/99,Staff,
18617,Surveyors,Crouzet,1/21/65,4/24/89,1/1/99,Senior Staff,
18810,Taiji,Jarecki,1/9/65,6/27/91,1/1/99,Engineer,
19236,Elzbieta,Morris,1/24/65,7/12/88,1/1/99,Engineer,
19350,Satoru,Yoshizawa,1/19/65,3/27/94,1/1/99,Senior Staff,
19803,Ziva,Kowalchuk,1/30/65,6/13/87,1/1/99,Engineer,
20100,Utz,Heuter,1/18/65,6/15/86,1/1/99,Senior Staff,
20128,Kazunori,Peak,1/23/65,8/13/99,1/1/99,Senior Staff,
20129,Rafael,Skafidas,1/10/65,3/28/91,1/1/99,Engineer,
20248,Vidar,Demri,1/12/65,12/31/99,1/1/99,Staff,
20313,Candida,Benveniste,1/24/65,1/20/99,1/1/99,Engineer,
20500,Christoph,Trystram,1/30/65,10/15/93,1/1/99,Senior Staff,
20712,Valeri,Escriba,1/26/65,4/9/94,5/2/98,Engineer,
20720,Heejo,Brodie,1/17/65,12/27/96,5/17/97,Senior Staff,
20885,Otmar,Rothenberg,1/21/65,3/14/89,1/1/99,Engineer,
21181,Jianhui,Cangellaris,1/21/65,10/6/91,1/1/99,Assistant Engineer,
21188,Piyush,Danecki,1/21/65,1/8/00,1/1/99,Engineer,
21534,Alagu,Luders,1/12/65,4/3/96,12/14/97,Staff,
21546,Yongmin,Lanteri,1/1/65,3/19/02,1/1/99,Senior Staff,
21843,Karsten,Azadmanesh,1/9/65,11/29/85,1/1/99,Senior Engineer,
21909,Mohammed,Brizzi,1/4/65,12/28/91,1/1/99,Senior Staff,
22027,Sangeeta,Georg,1/27/65,7/31/92,3/14/98,Staff,
22185,Huai,Birch,1/29/65,6/12/02,1/1/99,Assistant Engineer,
22415,Perla,Jumpertz,1/20/65,8/24/94,1/1/99,Senior Staff,
22451,Jasminko,Bresenham,1/27/65,1/19/94,1/1/99,Senior Staff,
22455,Barry,Unno,1/6/65,11/16/90,1/1/99,Senior Staff,
22502,Rutger,Binkley,1/29/65,10/16/89,11/2/01,Senior Engineer,
22926,Manibrata,Genther,1/1/65,1/15/88,1/1/99,Engineer,
23396,Hilari,Fairtlough,1/2/65,12/15/86,1/1/99,Technique Leader,
24080,Jaana,Perez,1/26/65,3/11/96,1/1/99,Technique Leader,
24189,Abdelaziz,Atrawala,1/16/65,3/28/93,2/23/97,Staff,
24205,Roddy,Rubsam,1/25/65,9/19/93,1/1/99,Senior Engineer,
24377,Lubomir,Wroclawski,1/25/65,7/25/93,1/1/99,Engineer,
24394,Zhonghui,Conta,1/4/65,9/10/94,1/1/99,Staff,
24421,Dannz,Grospietsch,1/10/65,9/1/90,10/12/00,Senior Engineer,
24553,Anwar,Passafiume,1/12/65,1/30/87,1/1/99,Senior Staff,
24571,Cordelia,Gischer,1/20/65,3/14/89,1/1/99,Engineer,
25488,Ingmar,Basawa,1/19/65,11/9/91,1/1/99,Senior Staff,
26476,Bilhanan,Karcich,1/19/65,4/9/96,2/4/97,Staff,
26503,Shietung,Billingsley,1/27/65,11/7/98,12/2/98,Senior Staff,
26617,Berto,Bruckman,1/6/65,11/23/91,3/27/94,Engineer,
26629,Nevin,Rodham,1/28/65,12/14/98,1/1/99,Senior Staff,
26671,Jiakeng,Kalorkoti,1/21/65,12/25/94,1/1/99,Engineer,
26788,Zongyan,Dalphin,1/25/65,4/23/88,1/1/99,Engineer,
27150,Chenyi,Plump,1/6/65,6/23/92,5/22/95,Staff,
27331,Wanqing,Krohm,1/19/65,1/22/91,1/1/99,Senior Staff,
27378,Piyawadee,Leppanen,1/28/65,2/25/99,1/1/99,Senior Staff,
27620,Shuji,Kandlur,1/25/65,3/2/90,1/1/99,Engineer,
27686,Manu,Rosiles,1/28/65,3/3/98,1/1/99,Senior Staff,
27699,Falguni,Pezzoli,1/15/65,12/23/96,1/1/99,Engineer,
27767,Tooru,Veldwijk,1/27/65,11/21/93,1/1/99,Senior Staff,
27970,KayLiang,Miyakawa,1/12/65,11/22/95,2/7/00,Technique Leader,
28193,Xinglin,Mitsuhashi,1/29/65,12/14/88,1/1/99,Engineer,
28222,Mayuko,Vitiello,1/11/65,12/22/93,10/16/95,Technique Leader,
28974,Chenxi,Sundgren,1/9/65,9/2/86,1/1/99,Senior Engineer,
28988,Tua,Giveon,1/18/65,9/9/98,1/1/99,Technique Leader,
29130,Xumin,Thorensen,1/6/65,4/26/98,1/1/99,Staff,
29265,Gilbert,Calkin,1/14/65,3/21/88,1/1/99,Senior Staff,
29380,Satoru,Vidal,1/30/65,5/2/98,1/1/99,Assistant Engineer,
29418,Valery,Mersereau,1/22/65,7/1/98,1/1/99,Assistant Engineer,
29679,Kolar,Steenbeek,1/17/65,10/18/86,1/1/99,Senior Engineer,
29782,Jouko,Hellwagner,1/29/65,10/23/00,1/1/99,Senior Engineer,
29954,Pranay,Giarratana,1/27/65,9/29/92,1/1/99,Senior Engineer,
30007,Kousuke,Vecchio,1/24/65,2/23/90,1/1/99,Engineer,
30035,Tetsushi,Conta,1/8/65,7/4/95,1/1/99,Senior Staff,
30154,Mayuko,Skafidas,1/26/65,4/19/99,1/1/99,Technique Leader,
30182,Leon,Potthoff,1/26/65,12/8/85,1/1/99,Engineer,
30465,Randi,Avouris,1/28/65,7/16/86,1/1/99,Engineer,
30484,Sailaja,Chvatal,1/11/65,5/18/99,1/1/99,Staff,
30552,Yishai,Terlouw,1/18/65,9/19/86,1/7/99,Engineer,
30695,Gudjon,Majewski,1/8/65,10/26/99,1/1/99,Senior Engineer,
30938,Yakkov,Samarati,1/6/65,10/10/97,1/1/99,Senior Staff,
31147,Divine,Sidhu,1/4/65,7/5/89,1/1/99,Senior Staff,
31170,Tuval,Waleschkowski,1/8/65,10/16/87,12/14/88,Senior Staff,
31188,Leandro,Gist,1/12/65,2/3/93,1/1/99,Technique Leader,
31207,Abdelwaheb,Dulin,1/30/65,8/5/93,1/1/99,Senior Engineer,
31341,Oksana,Zultner,1/1/65,3/23/91,1/1/99,Senior Staff,
31514,Harngdar,Schapire,1/13/65,11/9/96,1/1/99,Engineer,
31568,Mark,Lalonde,1/10/65,11/24/96,1/1/99,Staff,
31599,Qingxiang,Gewali,1/5/65,9/22/97,12/1/98,Engineer,
31629,Toong,Veldwijk,1/24/65,7/28/86,4/26/96,Assistant Engineer,
31909,Murthy,Peek,1/10/65,10/30/00,1/1/99,Engineer,
32347,Terresa,Peres,1/8/65,9/15/90,1/1/99,Senior Staff,
32552,Atreye,Stanger,1/17/65,9/10/93,1/1/99,Assistant Engineer,
32622,Piyush,Paciorek,1/23/65,4/7/91,7/18/91,Staff,
32649,Ingmar,Nannarelli,1/12/65,6/10/88,1/1/99,Senior Staff,
32714,Radoslaw,Maliniak,1/16/65,9/18/01,1/1/99,Staff,
32844,Tadahiko,Melton,1/23/65,1/7/95,1/1/99,Engineer,
33025,Jessie,Thorelli,1/12/65,12/16/99,1/1/99,Senior Staff,
33215,Steen,Fasbender,1/29/65,2/14/93,1/1/99,Technique Leader,
33293,Adamantios,Vanwelkenhuysen,2/1/65,1/11/94,8/18/00,Assistant Engineer,
33606,Clyde,Swift,1/2/65,11/14/94,12/29/96,Staff,
33722,Anwar,Collette,1/15/65,3/22/94,2/3/01,Senior Engineer,
34077,Angel,Sichman,1/8/65,11/16/88,1/1/99,Senior Staff,
34261,Kyoichi,Callaway,1/5/65,12/30/90,1/1/99,Senior Staff,
34446,Chinhyun,Bauknecht,1/31/65,12/19/86,1/1/99,Senior Engineer,
34452,Naftaly,Foong,1/8/65,5/10/91,1/1/99,Engineer,
34505,Felicidad,Kumaresan,1/28/65,9/6/94,1/1/99,Senior Staff,
34533,Erzsebet,Shigei,1/10/65,1/21/91,1/16/95,Senior Engineer,
34780,Moni,Kohling,1/16/65,7/21/94,9/18/01,Staff,
34788,Ennio,Babu,1/27/65,8/31/94,1/1/99,Senior Engineer,
34936,Bokyung,Stamatiou,1/12/65,2/12/91,1/1/99,Technique Leader,
35044,Jiang,Waschkowski,1/4/65,5/27/89,1/1/99,Engineer,
35087,Leif,Ashish,1/17/65,10/14/94,1/1/99,Senior Staff,
35441,Chandrasekaran,Peek,1/31/65,2/7/88,9/17/90,Engineer,
35642,Ashish,Talmon,1/30/65,6/13/95,2/28/99,Engineer,
35793,Oscar,Kusalik,1/1/65,5/11/91,1/1/99,Senior Staff,
35798,Ulf,Oberman,1/29/65,3/15/97,1/1/99,Senior Engineer,
36521,Serif,Gladwell,1/21/65,3/6/87,1/1/99,Senior Staff,
36626,Fen,Genin,1/2/65,5/9/86,1/1/99,Senior Staff,
36733,Uma,Reinhard,1/4/65,11/1/97,1/1/99,Staff,
36844,Hailing,Levergood,1/1/65,1/12/00,1/1/99,Staff,
36982,Kotesh,Rajala,1/22/65,6/23/92,1/1/99,Engineer,
37070,Jeong,Undy,1/22/65,2/13/85,1/1/99,Senior Staff,
37592,Berni,Stranks,2/1/65,11/5/85,9/19/92,Engineer,
37719,Nakhoon,Buescher,1/31/65,6/12/88,1/17/99,Assistant Engineer,
37945,Suzette,Butterworth,1/2/65,2/19/94,1/1/99,Senior Engineer,
38017,Ulf,Himler,1/24/65,1/2/94,8/5/95,Staff,
38043,Michaela,Randi,1/5/65,11/23/85,1/1/99,Engineer,
38103,Masasuke,Babu,1/12/65,3/31/88,1/1/99,Engineer,
38168,Fumiko,Deverell,1/14/65,8/15/87,1/1/99,Senior Staff,
38550,JoAnne,Baez,1/14/65,2/16/87,1/1/99,Senior Engineer,
38593,Huei,Orsini,1/14/65,6/4/86,1/1/99,Engineer,
38947,Shuichi,Ruemmler,1/25/65,4/8/98,1/1/99,Senior Staff,
39000,Martijn,Vendrig,1/8/65,3/3/97,1/1/99,Senior Staff,
39036,Changho,Cappelli,1/8/65,5/4/96,1/1/99,Staff,
39268,Constantijn,Awdeh,1/10/65,10/20/87,6/10/90,Engineer,
39301,Rimon,Kawashima,1/7/65,2/6/92,1/1/99,Senior Staff,
39341,Mahmut,Lampe,1/1/65,5/11/85,1/1/99,Engineer,
39952,Otmar,Sudbeck,1/2/65,7/22/98,1/1/99,Staff,
40269,Toshiki,Ghazalie,1/10/65,12/5/91,1/1/99,Senior Staff,
40283,Sudhanshu,Boissier,1/7/65,5/11/85,1/1/99,Engineer,
40301,Spyrose,Felder,1/20/65,6/16/96,10/20/97,Senior Engineer,
40536,Harngdar,Bernardinello,1/20/65,2/29/88,1/1/99,Engineer,
40648,Wayne,Erev,1/23/65,9/19/90,2/2/93,Staff,
40765,Michaela,Ramsak,1/1/65,12/21/92,1/1/99,Senior Staff,
40773,Shimshon,Aingworth,1/9/65,4/13/86,1/1/99,Senior Staff,
40785,Youpyo,Castellani,1/31/65,9/4/98,10/14/99,Engineer,
40983,Marla,Cherinka,1/17/65,12/1/86,1/1/99,Technique Leader,
41114,Petter,Thummel,1/25/65,12/24/95,1/1/99,Technique Leader,
41137,Bikash,Buchter,1/20/65,11/23/87,1/8/96,Senior Staff,
41357,Willard,Vernadat,1/6/65,3/4/97,1/1/99,Engineer,
41518,Keung,Schapiro,1/11/65,2/8/01,1/1/99,Senior Engineer,
41520,Xiong,Uhrik,1/20/65,3/21/88,1/1/99,Senior Engineer,
41552,Uno,Heyers,1/3/65,9/28/90,11/29/01,Engineer,
41609,Yucai,Simmen,1/4/65,10/13/87,1/1/99,Senior Staff,
42778,Shuji,Remmers,1/19/65,12/18/87,1/1/99,Senior Staff,
42911,Brigham,Eterovic,1/29/65,10/8/94,1/1/99,Engineer,
42950,Shaleah,Eickenmeyer,1/22/65,10/9/93,1/1/99,Senior Staff,
42955,Yucel,Lortz,1/12/65,2/21/95,1/1/99,Engineer,
43154,Maha,Waterhouse,1/13/65,7/4/97,1/1/99,Senior Staff,
43358,Ottavia,Mitsuhashi,1/7/65,8/18/89,7/13/96,Staff,
43733,Huei,Boguraev,1/26/65,12/31/93,1/1/99,Senior Staff,
43848,Phillip,Oxenboll,1/11/65,5/26/99,1/1/99,Engineer,
44054,Alenka,Ritcey,1/18/65,2/9/97,1/1/99,Engineer,
44265,Maria,Eppinger,1/24/65,1/30/97,1/1/99,Engineer,
44540,Mingzeng,Sadowski,1/16/65,11/12/89,1/1/99,Senior Engineer,
44900,Mark,Schwaller,1/5/65,8/10/94,1/1/99,Senior Staff,
44959,Volkmar,Uhrik,1/21/65,1/16/88,1/1/99,Engineer,
44962,Sariel,Wynblatt,1/16/65,5/18/96,1/1/99,Assistant Engineer,
45162,Dulce,Speel,1/11/65,10/19/87,1/1/99,Engineer,
45590,Masoud,Genin,1/21/65,2/16/91,6/1/94,Technique Leader,
46000,Zhaofang,Penn,1/26/65,7/24/97,1/1/99,Senior Staff,
46015,Weiye,Masand,1/19/65,7/24/95,1/29/02,Staff,
46222,Mrinalini,Strooper,1/20/65,3/5/90,9/4/92,Staff,
46328,Wuxu,Trogemann,1/5/65,1/27/97,1/1/99,Senior Staff,
46531,Yaghout,Peng,1/30/65,10/2/95,10/7/97,Assistant Engineer,
46811,Junsik,Berendt,1/10/65,4/27/88,1/1/99,Senior Engineer,
46834,Tooru,Daescu,1/22/65,3/20/98,1/1/99,Senior Staff,
46943,Pasqua,Maraist,1/31/65,12/6/93,1/1/99,Engineer,
47016,Toong,Litecky,1/3/65,3/1/89,1/1/99,Senior Staff,
47139,Marco,Usdin,1/25/65,10/29/96,1/1/99,Engineer,
47262,Gonzalo,Binkley,1/10/65,8/16/85,1/1/99,Engineer,
47515,Naraig,Jenevein,1/26/65,1/18/87,1/1/99,Senior Engineer,
47702,Juyoung,Vieri,1/21/65,8/12/91,1/1/99,Senior Staff,
47708,Edwin,Haldar,1/5/65,7/12/95,1/1/99,Senior Staff,
48275,Sariel,Massonet,1/29/65,11/20/87,1/1/99,Senior Staff,
48690,Hitomi,Schaap,1/12/65,9/27/99,1/1/99,Staff,
